Issuer Company,Listing Date,Issue Price,Lot Size,Issue Price (Rs Cr),P/E Ratio,QIB,NII,RII,EMP,TOTAL,Open Price,Low Price,High Price,Close Price,% Change
Ganga Forging Limited,7/11/18,21,6000,5,,,0.84,2.8,,1.78,21.1,21,21.3,21.2,0.95
Bright Solar Limited,7/9/18,36,3000,19.44,,,2.21,1.49,,1.85,37.75,37.75,37.75,37.25,3.47
Rajnish Wellness Limited,7/9/18,95,1200,11.98,,,2.02,0.23,,1.13,100,100,104.7,100.15,5.42
Varroc Engineering Limited,7/6/18,967,15,1945.77,,9.15,2.45,0.84,0.63,3.54,1032,1000,1062,1040.55,7.61
Fine Organic Industries Limited,7/2/18,783,19,600.2,,12.85,21,1.19,,8.77,815,787,834,822.8,5.08
RITES Limited,7/2/18,185,80,460.51,,71.71,194.56,14.24,0.96,66.74,190,190,224.4,212.7,14.97
Accuracy Shipping Limited,6/22/18,84,1600,35.76,,0.56,1.42,4.79,,1.5,88,84,90,86.1,2.5
Priti International Limited,6/21/18,75,1600,5.26,,,7.41,8.1,,7.76,81,81,83.7,81.25,8.33
ShreeOswal Seeds & Chemicals Limited,6/20/18,26,4000,11.9,,,2.6,5.69,,4.17,27.85,27,27.85,27,3.85
Sonam Clock Limited,6/14/18,36,3000,10.11,,,1.04,3.8,,2.42,37,36.75,37.5,36.95,2.64
Waa Solar Limited,6/12/18,161,800,28.18,,,0.85,2.84,,1.85,158,152.1,158,153.15,-4.88
Palm Jewels Limited,6/12/18,30,4000,8.9,,,0.82,1.5,,1.16,37.5,35.65,37.5,35.85,19.5
Nakoda Group of Industries Limited,6/6/18,35,4000,6.48,,,1.9,0.74,,1.32,35,35.3,35.35,35.35,1
Latteys Industries Limited,6/5/18,66,2000,8.06,,,1.19,3.74,,2.47,68,64.6,68,66.2,0.3
Arihant Institute Limited,6/5/18,30,4000,7.5,,,0.69,3.71,,2.2,29.95,28.75,30.05,29.25,-2.5
Debock Sales and Marketing Ltd,6/5/18,20,6000,4.44,,,1.07,1.88,,1.47,20.95,20.1,21,20.35,1.75
Affordable Robotic & Automation Limited,6/4/18,85,1600,31.17,,,2.7,25.3,,4.63,90.05,92,99.25,99.25,16.76
Suumaya Lifestyle Limited,6/4/18,18,8000,3.4,,,1.49,1.39,,1.44,18,17.6,18,17.85,-0.83
Shree Vasu Logistics Limited,6/4/18,45,3000,9.29,,,2.45,0.88,,1.67,48,48,48.7,48.5,7.78
Sirca Paints India Limited,5/30/18,160,800,77.92,,,9.69,6.44,,8.32,162,157,165,164.8,3
Megastar Foods Limited,5/24/18,30,4000,8.04,,,1.88,1.52,,1.7,30.5,30.5,31.95,31,3.33
Innovators Facade Systems Limited,5/24/18,72,1600,40.75,,,28.18,13.85,,23.45,72,69,75.6,75.6,5
U. H. Zaveri Limited,5/22/18,36,3000,7.99,,,1.89,3.76,,2.83,27,25.65,27,25.65,-28.75
Milestone Furniture Limited,5/21/18,45,3000,14.84,,,,,,,45,42.75,45.45,44.45,-1.22
IndoStar Capital Finance Limited,5/21/18,572,26,1844,,16.08,6.91,1.17,,6.65,600,578.5,606.3,585.5,2.36
Five Core Electronics Limited,5/21/18,140,1000,46.66,,,,,,,140.9,138,147.9,145.5,3.93
E2E Networks Limited,5/15/18,57,2000,21.99,,,130.82,13.39,,73.81,85,84,89.25,89,56.14
SoftTech Engineers Limited,5/11/18,80,1600,22.81,,,31.21,28.94,,30.82,72.5,72,73,72,-10
Akshar Spintex Limited,5/11/18,40,3000,26.99,,,1.71,9.24,,5.49,40,38,40.25,38,-5
Indo US Bio-Tech Limited,5/11/18,51,2000,7.29,,,19.52,19.87,,19.74,55.05,55.05,57.8,57.8,13.33
Godha Cabcon & Insulation Limited,5/11/18,33,4000,9.9,,,1.1,1.69,,1.39,31,31,31,31,-6.06
Dhruv Consultancy Services Limited,5/10/18,54,2000,23.19,,,2.51,2.56,,2.64,53.4,52.55,56.05,56.05,3.8
Dr Lalchandani Labs Limited,5/9/18,30,4000,4.2,,,3.35,6.48,,4.96,29.95,28.5,29.95,28.5,-5
Aakash Exploration Services Limited,4/27/18,56,2000,10.08,,,1.59,1.38,,1.48,55.75,53,57,57,1.79
Mahickra Chemicals Limited,4/26/18,25,6000,5.25,,,22.42,9.88,,27.85,35,35,36.75,36.75,47
Penta Gold Limited,4/25/18,37,3000,13.32,,,1.02,0.16,,0.59,37,36.5,37,37,0
Garv Industries Limited,4/25/18,10,10000,3.2,,,2.17,1.89,,2.13,10,10,10.3,10,0
Bombay Super Hybrid Seeds Limited,4/25/18,60,2000,10.39,,,4.56,14.45,,9.67,60,57,63,63,5
Power & Instrumentation (Gujarat) Limited,4/23/18,33,4000,6.15,,,8.61,11.9,,10.26,35,34,35.9,34.9,5.76
Narmada Agrobase Limited,4/19/18,32,4000,7.48,,,0.93,1.48,,1.21,31.95,30.6,31.95,31.9,-0.31
Vera Synthetic Limited,4/12/18,40,3000,5.34,,,3.29,3.7,,3.49,44.85,44.3,48.7,44.3,10.75
Soni Soya Products Limited,4/12/18,25,6000,4.5,,,2.13,3.53,,2.86,25.1,25.1,25.3,25.2,0.8
S.S. Infrastructure Development Consultants Limited,4/12/18,40,3000,17.11,,,14.43,6.82,,11.19,42.95,41.2,43.9,43.1,7.75
MMP Industries Limited,4/12/18,188,600,84.6,,,0.41,0.66,,0.78,190,190,199.5,199.5,6.12
AVG Logistics Limited,4/11/18,107,1200,33.06,,,2.28,1.08,,1.92,113,112,118.65,118.55,10.79
Lemon Tree Hotels Limited,4/9/18,56,265,1038.68,,3.88,0.12,0.12,,1.19,61.6,57.3,73.9,71.6,27.86
Taylormade Renewables Limited,4/6/18,35,4000,11.34,,,1.75,0.74,,1.25,36,35.8,37.8,37.8,8
Orissa Bengal Carrier Limited,4/5/18,30,4000,16.69,,,1.15,1.44,,1.3,31.9,31.9,33.45,33.45,11.5
Continental Seeds and Chemicals Ltd,4/4/18,26,4000,4.21,,,0.56,2.36,,1.46,26,24.7,27.3,25.75,-0.96
Lex Nimble Solutions Ltd,4/4/18,57,2000,6.34,,,2,0.25,,1.12,58.65,55.35,58.65,55.35,-2.89
Kapston Facilities Management Ltd,4/4/18,92,1200,21.2,,,1.07,1.31,,1.19,92.5,92.1,93,92.55,0.6
Mishra Dhatu Nigam Limited,4/4/18,90,150,438.38,,1.96,0.13,0.72,0.26,1.21,87,86.35,90.9,90,0
ICICI Securities Ltd,4/4/18,520,28,4016.97,,1.04,0.36,0.89,,0.78,431.1,431.1,462.7,445.05,-14.41
Benara Bearings & Pistons Ltd,4/3/18,63,2000,33.49,,,1.06,2.77,1.18,1.91,64,61,64,61.95,-1.67
Sandhar Technologies Limited,4/2/18,332,45,565.6,,14.5,6.39,1.31,,6.14,345,318.55,351.45,322.55,-2.85
Giriraj Civil Developers Ltd,4/2/18,100,1200,9,,,0.96,1.36,,1.16,101,100.1,101,100.1,0.1
Karda Construction Ltd,4/2/18,180,80,77.4,,1.55,3.44,2.01,,2.53,136,136,142.8,142.8,-20.67
Mittal Life Style Ltd,4/2/18,21,6000,4.41,,,2.37,0.58,,1.47,21,21,21,21,0
Yasho Industries Limited,4/2/18,100,1200,28.99,,,1.8,0.41,,1.11,101.25,100,101.25,101.25,1.25
Hindustan Aeronautics Limited,3/28/18,1215,12,4144.06,,1.73,0.03,0.39,0.21,0.99,1169,1117.6,1184,1128.35,-7.13
Uravi T and Wedge Lamps Ltd,3/28/18,100,1200,15,,,1.37,0.98,,1.2,101.25,101.25,102.25,102.25,2.25
Bandhan Bank Limited,3/27/18,375,40,4473.02,,38.68,13.89,1.06,,14.56,485,455,498.4,477.2,27.25
Ridings Consulting Engineers India Ltd,3/26/18,18,8000,6.22,,,0.81,1.83,,1.32,18.5,18,18.5,18,0
Active Clothing Co Ltd,3/26/18,65,2000,26.56,,,1.91,0.43,,1.17,64.95,61.75,66.4,65.65,1
Advitiya Trade India Limited,3/26/18,15,8000,4.31,,,1.95,0.25,,1.1,15.01,15.01,15.76,15.76,5.07
Marvel Decor Limited,3/23/18,57,2000,26.26,,,2.03,0.8,,1.54,57.75,51,59,57.85,1.49
Bharat Dynamics Ltd,3/23/18,428,35,960.94,,1.5,0.5,1.37,0.4,1.29,360,360,402.8,390.7,-8.71
Tara Chand Logistic Solutions Ltd,3/23/18,55,2000,20.46,,,2.64,2.88,,2.76,49,47.7,56.05,49.05,-10.82
Macpower CNC Machines Ltd,3/22/18,140,1000,36.61,,,1.92,5.07,,3.8,149,140,164.95,162.05,15.75
Shreeshay Engineers Ltd,3/21/18,13,8000,5.4,,,1.22,1,,1.11,15.25,15.05,15.25,15.23,17.15
Inflame Appliances Ltd,3/16/18,54,2000,6.48,,,,,,,53.35,50.7,53.35,50.7,-6.11
Uniinfo Telecom Services Ltd,3/15/18,55,2000,20.01,,,1.46,3.04,,2.31,56,52.5,56.8,55.75,1.36
Sarveshwar Foods Ltd,3/15/18,85,1600,54.97,,,1.13,1.83,,1.64,83,68.05,83,70.55,-17
East India Securities Ltd,3/13/18,920,160,92.74,,,,,,,921.9,921.9,931,930,1.09
Hindcon Chemicals Limited,3/9/18,28,4000,7.73,,,,,,,33.6,29,33.6,29.3,4.64
H.G. Infra Engineering Ltd,3/9/18,270,55,462,,8.37,4.97,3.08,,4.98,270,252.6,276,270.05,0.02
Angel Fibers Ltd,3/6/18,27,4000,18.22,,,,,,,28.5,27.1,28.5,27.1,0.37
CKP Leisure Limited,3/6/18,30,4000,11.54,,,,,,,27,27,30.05,29.9,-0.33
Banka BioLoo Limited,2/27/18,115,1200,12.63,,,1.62,0.44,,1.09,114,114,120,115,0
Aster DM Healthcare Ltd,2/26/18,190,78,980.14,,2.1,0.55,1.18,,1.31,182.1,176.45,187.8,179.85,-5.34
Arvee Laboratories (India) Limited,2/22/18,61,2000,8.91,,,2.18,3.62,,2.9,60.95,60.5,66.5,62.5,2.46
Tasty Dairy Specialities Ltd,2/21/18,45,3000,24.44,,,155.32,40.6,,97.96,50.75,48.25,52.45,48.35,7.44
Bhatia Communications & Retail (India) Limited,2/20/18,150,1000,24.75,,,1.98,0.73,,1.36,153.95,150,153.95,150.1,0.07
South West Pinnacle Exploration Ltd,2/19/18,78,1600,35.86,,18.04,144.16,11.7,2.82,29.42,93.6,75.5,93.6,88.3,13.21
Mohini Health & Hygiene Ltd,2/16/18,42,3000,20.71,,,29.63,9.05,,22.3,50.4,50.4,50.4,50.4,20
Kenvi Jewels Limited,2/16/18,36,3000,6.7,,,,,,,35.1,31.05,43.2,39.1,8.61
Lorenzini Apparels Limited,2/15/18,10,10000,4.47,,,1.4,2,,1.71,10.2,8.25,10.2,9.25,-7.5
Sintercom India Limited,2/15/18,65,2000,42.55,,5.8,203.72,16.41,3.92,38.92,78,78,78,78,20
A and M Jumbo Bags Limited,2/12/18,65,2000,4,,,3.97,10.88,,7.44,70.5,66.5,73.8,66.55,2.38
Focus Suits Solutions & Services Ltd,2/9/18,18,8000,6.49,,,,,,,21.6,21.6,21.6,21.6,20
Medico Remedies Ltd,2/8/18,100,1200,10.99,,,1.16,2.52,,1.84,100,90,100,97.15,-2.85
Gujarat Hy-Spin Limited,2/8/18,10,10000,4.45,,,1.89,7.73,,4.81,10.35,10,11.9,10.81,8.1
Galaxy Surfactants Limited,2/8/18,1480,10,937.09,,54.27,6.96,5.92,,19.96,1520,1520,1732,1698.1,14.74
Gautam Gems Limited,2/7/18,36,3000,7.56,,,0.78,9.61,,5.2,34.15,28.8,43,34.6,-3.89
Vasa Retail and Overseas Ltd,2/6/18,30,4000,4.8,,,175.44,259.96,,218,36,36,36,36,20
Ashoka Metcast Limited,2/5/18,20,6000,12,,,0.51,2.63,,1.57,16,16,16,16,-20
Shree Ram Protiens Ltd,2/5/18,31,4000,19.9,,,2.94,6.68,,4.81,28.95,28.95,33.45,32.55,5
Solex Energy Limited,2/5/18,52,2000,7.18,,,15.4,24.91,,20.21,43.5,42,52.2,51.2,-1.54
CRP Risk Management Ltd,1/31/18,60,2000,30.82,,,0.67,3.87,,2.27,48,48,56.75,49.7,-17.17
Amber Enterprises India Limited,1/30/18,859,17,600,,174.99,519.26,11.57,2.26,165.38,1180,1114.1,1263,1237.25,44.03
Newgen Software Technologies Limited,1/29/18,245,61,424.62,,15.62,5.52,5.18,,8.25,253,245.95,266.5,253,3.27
Apollo Micro Systems Limited,1/22/18,275,50,156,,101.93,958.07,40.19,16.04,248.51,478,454.1,479.95,454.1,65.13
S K S Textiles Limited,1/19/18,150,1000,13.32,,,6.9,22.7,,15.01,149.9,131.1,151,133.35,-11.1
Silly Monks Entertainment Ltd,1/17/18,120,1200,15.12,,,24.16,12.36,,18.28,144,144,144,144,20
Jhandewalas Foods Limited,1/12/18,55,2000,16.01,,,466.69,88.58,,278.82,66,66,66,66,20
Rithwik Facility Management Services Ltd,1/11/18,50,3000,4.05,,,,,,,60,43.5,60,45.45,-9.1
Brand Concepts Limited,1/10/18,45,3000,12.62,,,12.19,11.37,,11.78,54,54,54,54,20
Moksh Ornaments Limited,1/3/18,37,3000,11.03,,,,,,,44.4,44.4,44.4,44.4,20
Ajooni Biotech Limited,1/2/18,30,4000,6.59,,,,,,,36,36,36,36,20
Astron Paper & Board Mill Ltd,12/29/17,50,280,70,,103.35,396.99,73.32,2.69,241.75,114,113.1,119.7,119.7,139.4
SMVD Ploy Pack Limited,12/26/17,55,2000,9.02,,,,,,,58,48.2,59,53.6,-2.55
One Point One Solutions Ltd,12/26/17,67,,44.38,,,95.77,20.37,,60.93,80.4,80.4,80.4,80.4,20
Diggi Multitrade Limited,12/22/17,13,10000,3.38,,,,,,,13.25,12.85,14.2,13.03,0.23
Kids Medical Systems Limited,12/22/17,30,4000,6,,,,,,,32.4,24.5,36,34.35,14.5
Touchwood Entertainment Limited,12/21/17,40,3000,4.21,,,,,,,43.5,43.5,48,48,20
Future Supply Chain Solutions Ltd,12/18/17,664,22,649.7,,12.36,11.15,3.28,,7.56,674,660.05,698.7,685.8,3.28
MRC Exim Limited,12/18/17,15,,4.5,,,,,,,15,12,15,12.5,-16.67
Shalby Limited,12/15/17,248,60,504.8,,4.34,0.42,2.98,1.44,2.82,237,236.15,254.65,239.25,-3.53
Ratnabhumi Developers Limited,12/14/17,63,2000,23.31,,,,,,,63.45,63,64.9,63.55,0.87
Dynamic Cables Limited,12/14/17,40,3000,23.38,,,,,,,48,48,48,48,20
Innovana Thinklabs Limited,12/12/17,70,2000,7.7,25,,,,,,77,75,84,83.6,19.43
Shradha Infraprojects (Nagpur) Limited,12/11/17,70,,18.93,,,,,,,69.8,68,72,70.25,0.36
ICE Make Refrigeration Ltd,12/8/17,57,2000,23.71,,,378.67,140.84,,260.63,68.4,68.4,68.4,68.4,20
Zodiac Energy Limited,12/5/17,52,2000,10.14,,,,,,,62.4,49.55,62.4,51.1,-1.73
Felix Industries Limited,12/5/17,35,4000,4.79,,,,,,,35.5,33.75,36.05,35.8,2.29
Silver Touch Technologies Ltd,12/1/17,121,,40.22,18,,,,,,120,120,126,122,0.83
Ambition Mica Limited,11/29/17,42,3000,12.6,,,,,,,42.05,42,44.45,43.15,2.74
Sharika Enterprises Limited,11/27/17,43,,13.87,,,,,,,51.6,50.15,51.6,51.6,20
Pulz Electronics Limited,11/24/17,54,,3.92,,,,,,,64.8,58.3,64.8,64.05,18.61
Vertoz Advertising Limited,11/24/17,108,,17.11,,,,,,,113,113,129.6,129.6,20
Sanghvi Brands Ltd,11/22/17,69,2000,18.96,,,,,,,75.9,74,82.8,82.8,20
ANI Integrated Services Limited,11/20/17,100,1200,25.66,,,,,,,120,120,120,120,20
HDFC Standard Life Insurance Company Ltd,11/17/17,290,50,8695.01,,16.6,2.29,0.91,1.22,4.89,311,307.65,369,344.25,18.71
Khadim India Limited,11/14/17,750,20,543.06,,2.45,0.18,2.34,,1.9,727,677.3,740,688.5,-8.2
The New India Assurance Company Limited,11/13/17,800,18,9600,,2.34,0.11,0.11,0.2,1.2,748.9,717.75,749,725.05,-9.37
SecUR Credentials Ltd,11/13/17,205,,30.07,,,,,,,208,195,219.8,198.6,-3.12
Mahindra Logistics Limited,11/10/17,429,34,829.36,,15.6,2.07,6.1,1.94,7.9,432,416.55,433.95,429.15,0.03
Reliance Nippon Life Asset Management Ltd,11/6/17,252,59,1542.24,,118.4,209.44,5.65,,81.54,294,278,298.7,284,12.7
Sheetal Cool Products Ltd,10/30/17,80,,24,,,,,,,96,80.5,96,86.6,8.25
Kaarya Facilities & Services Ltd,10/27/17,40,3000,6.4,,,,,,,43.8,36.1,48,48,20
General Insurance Corporation of India,10/25/17,912,16,11175.84,,2.25,0.22,0.63,0.94,1.38,850,780.25,895,870.4,-4.56
Indian Energy Exchange Ltd,10/23/17,1650,9,1000.73,,2.56,0.85,2.61,,2.28,1500,1500,1658,1626.45,-1.43
D P Abhushan Ltd,10/23/17,28,4000,16.61,,,,,,,33.6,32.65,33.6,33.6,20
MAS Financial Services Ltd,10/18/17,459,32,460.04,,148.33,378.53,15.97,2.41,128.39,660,625,680.95,654.75,42.65
Milton Industries Limited,10/16/17,34,4000,14.28,,,,,,,40.8,32.2,40.8,34.35,1.03
Godrej Agrovet Limited,10/16/17,460,32,1157.31,,150.96,236.04,7.16,0.81,95.16,621,563.8,629.85,595.55,29.47
Omfurn India Limited,10/13/17,23,6000,4.17,,,,,,,27.6,21.5,27.6,22.85,-0.65
Shree Ganesh Remedies Ltd,10/13/17,36,3000,8.55,,,,,,,40,29.75,40,33,-8.33
Shreeji Translogistics Ltd,10/13/17,130,1000,12.4,,,,,,,156,131,156,132,1.54
CMM Infraprojects Limited,10/12/17,40,3000,18.18,,,,,,,46.5,38.65,48,42.25,5.63
Siddharth Education Services Ltd,10/12/17,35,4000,10.88,,,,,,,36.9,36,42,42,20
Tirupati Forge Ltd,10/12/17,29,4000,5.22,,,,,,,34.8,30.5,34.8,34.1,17.59
Beta Drugs Limited,10/12/17,85,1600,19.52,,,,,,,102,92,102,101.95,19.94
IRIS Business Services Ltd,10/11/17,34,4000,16.01,,,,,,,34,34,38.4,35.35,3.97
Reliable Data Services Limited,10/11/17,57,2000,14.82,30,,,,,,68.4,68.4,68.4,68.4,20
Jash Engineering Limited,10/11/17,120,1200,48.01,,,,,,,144,143.8,144,144,20
Goldstar Power Ltd,10/10/17,25,6000,7.25,,,,,,,27.3,26.3,29.6,26.3,5.2
Mehai Technology Ltd,10/9/17,40,3000,6,,,,,,,35.1,32.2,35.1,34.5,-13.75
RKEC Projects Ltd,10/9/17,45,3000,28.7,,,,,,,54,54,54,54,20
Vanta Bioscience Ltd,10/6/17,50,3000,7.56,,,,,,,51.1,50,53.85,50.2,0.4
Airo Lam Ltd,10/6/17,38,3000,15.2,,,,,,,45.6,45.6,45.6,45.6,20
Innovative Tyres & Tubes Ltd,10/5/17,45,3000,28.34,,,,,,,54,46.2,54,47.15,4.78
Shree Tirupati Balajee FIBC Ltd,10/5/17,40,3000,10.8,,,,,,,45,42.1,47.4,43.05,7.62
Trident Texofab Ltd,10/5/17,30,4000,3.53,,,,,,,68,68,68,68,126.67
Share India Securities Ltd,10/5/17,41,3000,26.37,,,,,,,92.6,87.5,94.4,93.1,127.07
Prataap Snacks Limited,10/5/17,938,15,481.56,,76.89,101.15,8.48,1.5,47.39,1250,1137,1317.05,1178.3,25.62
D P Wires Limited,10/5/17,75,1600,26.88,,,,,,,78,60,78,75,0
Aarvi Encon Ltd,10/5/17,54,2000,21.24,,,,,,,56,54,57.8,54.5,0.93
Cadsys (India) Ltd,10/4/17,70,2000,14.7,,,,,,,84,72.1,84,84,20
R M Drip & Sprinklers Systems Ltd,10/4/17,57,2000,11.46,,,,,,,57.1,57,60.5,58.8,3.16
SBI Life Insurance Company Ltd,10/3/17,700,21,8400,,12.56,0.7,0.81,1.02,3.55,733.3,702.25,738,708,1.14
AKM Lace & Embrotex Ltd,9/29/17,25,6000,4.76,,,,,,,25.5,23.6,25.55,24.9,-0.4
Madhya Pradesh Today Media Ltd,9/29/17,66,2000,14.17,,,,,,,70,68,79.2,79.2,20
ICICI Lombard General Insurance Company Ltd,9/27/17,661,22,5700.94,,8.17,0.83,1.23,,2.98,650,638.15,694,681.55,3.11
Worth Peripherals Ltd,9/27/17,43,3000,18.28,,,,,,,51.6,51.6,51.6,51.6,20
Sri Krishna Metcom Limited,9/26/17,55,2000,19.25,,,,,,,53.95,44,53.95,49,-10.91
Capacit'e Infraprojects Limited,9/25/17,250,60,400,,131.32,638.05,17.57,,183.03,399,335.65,399,342.4,36.96
Matrimony.com Limited,9/21/17,985,15,496.88,,1.88,0.41,18.16,3.2,4.44,985,893.2,1025,901.2,-8.51
Bharat Road Network Limited,9/18/17,205,73,600.65,,1.33,1.63,5.69,,1.81,204.9,196.5,218.65,208.15,1.54
Dixon Technologies (India) Limited,9/18/17,1766,8,600,,134.66,345.61,10.6,,117.83,2725,2725,3020.25,2892.8,63.81
Manav infra projects Ltd,9/18/17,30,4000,5.51,,,,,,,32,24,33,24,-20
Nouritrans Exim Ltd,9/15/17,30,4000,6.12,,,,,,,26.05,24,29.2,24.3,-19
A & M Febcon Ltd,9/14/17,18,8000,6.68,,,,,,,18,14.4,18.6,18,0
Dhruv Wellness Ltd,9/12/17,20,6000,5.57,,,,,,,19.6,19.35,20.2,19.5,-2.5
Pashupati Cotspin Ltd,9/8/17,75,1600,1.54,,,,,,,77,75,77,75,0
ANG Lifesciences India Ltd,9/8/17,80,1600,12.01,,,,,,,96,96,96,96,20
Shish Industries Ltd,9/5/17,30,4000,4.06,,,,,,,32,32,36,32.95,9.83
Apex Frozen Foods Ltd,9/4/17,175,80,152.25,,1.91,7.82,8.53,1.1,6.14,199.9,195,209.85,209.85,19.91
Servotech Power Systems Ltd,8/24/17,31,4000,15.13,,,,,,,30.7,30.7,32,31.85,2.74
Geekay Wires Ltd,8/24/17,33,4000,11,,,,,,,33.35,33.15,33.7,33.25,0.76
Lexus Granito (India) Ltd,8/23/17,45,3000,25.92,,3.22,65.12,39.01,,37.41,53,53,54,54,20
Ashok Masala Mart Ltd,8/22/17,10,10000,2.01,,,,,,,9.5,9.5,9.5,9.5,-5
Vaishali Pharma Ltd,8/22/17,72,1600,14.23,,,1.87,1.91,,1.89,71.9,66.55,73,70.35,-2.29
Cochin Shipyard Ltd,8/11/17,432,30,1442.01,,63.51,288.87,8.51,0.48,76.19,435,435,522,522,20.83
Security and Intelligence Services (India) Ltd,8/10/17,815,18,779.58,,5.64,1.66,19.51,,7.07,875,749,878,756.7,-7.15
Surevin BPO Services Ltd,8/9/17,40,3000,3.65,,,75.12,34.89,,55.38,48,38.3,48,40.2,0.5
Global Space Technologies Ltd,8/7/17,66,2000,20.02,,,,,,,60.05,60.05,60.05,60.05,-9.02
Total Transport Systems Ltd,8/7/17,45,3000,17.01,,,,,,,54,54,54,54,20
Keerti Knowledge And Skills Ltd,8/7/17,52,2000,4.06,,,,,,,51,49,52.4,51.25,-1.44
Shanti Overseas (India) Limited,8/3/17,50,3000,10.02,,,,,,,60,41,60,42.9,-14.2
Captain Technocast Ltd,8/1/17,40,3000,5.7,,,,,,,47.4,47.4,48.5,48.5,21.25
Jigar Cables Ltd,7/28/17,30,4000,5.59,,,,,,,33.15,33,36,36,20
Univastu India Ltd,7/27/17,40,3000,5.99,,,,,,,48,38.5,48,40.2,0.5
Salasar Techno Engineering Ltd,7/25/17,108,125,35.87,,9999,478.39,58.92,,273.05,259.15,250,272.1,259.15,139.95
7NR Retails Ltd,7/18/17,27,4000,5.12,,,,,,,27,26.75,27.1,27,0
Shrenik Limited,7/18/17,40,3000,21.6,,,,,,,41.9,41.9,48,48,20
GG Engineering Ltd,7/17/17,20,6000,2.23,,,,,,,21,19.9,21,20.7,3.5
Ace Integrated Solutions Ltd,7/13/17,40,3000,7.2,,,,,,,38.9,38.9,41.8,39.55,-1.13
Transwind Infrastructures Ltd,7/12/17,27,4000,7.29,,,,,,,30.85,30.85,32.4,32.4,20
Bansal Multiflex Ltd,7/12/17,31,4000,6.2,,,,,,,34,32.7,36.85,35.7,15.16
Gautam Exim Ltd,7/11/17,40,3000,3.32,,,,,,,40,34,44.7,43.85,9.63
Pushpanjali Realms & Infratech Ltd,7/10/17,55,2000,14.55,,,,,,,55,52,56,55.45,0.82
Au Financiers (India) Limited,7/10/17,358,41,1912.51,,78.77,143.51,3.52,1.45,53.6,525,506.8,545,541.2,51.17
Accord Synergy Ltd,7/6/17,60,2000,5.83,,,,,,,72,72,72,72,20
GTPL Hathway Limited,7/4/17,170,88,484.8,,1.48,2.85,0.99,,1.53,170,162.25,174.5,171.65,0.97
Central Depository Services (India) Limited,6/30/17,149,100,523.99,,148.71,563.03,23.83,1.46,170.16,250,250,269.95,261.6,75.57
Eris Lifesciences Limited,6/29/17,603,24,1741.16,,4.68,0.45,3.51,0.86,3.29,612,592.3,627.7,601.05,-0.32
Tejas Networks Limited,6/27/17,257,55,776.69,,2.16,0.48,3.1,,1.88,257,257,271,263.3,2.45
Globe Textiles (India) Limited,6/23/17,51,2000,13.71,,,,,,,50,43.7,52,50.15,-1.67
Riddhi Corporate Services Ltd,6/22/17,130,1000,12.35,16,,,,,,135.1,134.5,135.1,134.5,3.46
Shri Ram Switchgears Limited,6/7/17,19,6000,5.07,,,,,,,22.8,22.8,22.8,22.8,20
IndiGrid InvIT Fund,6/6/17,100,10205,2250,,1.14,,,,1.35,100,94,100,98.45,-1.55
Vadivarhe Speciality Chemicals Ltd,6/2/17,42,3000,14.46,,,,,,,50.4,50.4,50.4,50.4,20
Jalan Transolutions (India) Ltd,5/31/17,46,3000,17.71,,,,,,,42.25,40.55,43,41.95,-8.8
Yug Decor Ltd,5/31/17,26,4000,2.88,,,,,,,27,26.05,29.9,26.1,0.38
Bhakti Gems and Jewellery Ltd,5/30/17,20,6000,3.92,,,,,,,18.7,18.5,20.35,20.05,0.25
PSP Projects Ltd,5/29/17,210,70,211.68,,8.38,10.39,6.47,,8.58,199,189.05,208.95,208.95,-0.5
Housing and Urban Development Corporation Ltd,5/19/17,60,200,1224.35,,55.45,330.36,10.79,0.74,79.53,73.45,70.55,77.8,72.5,20.83
IRB InvIT Fund,5/18/17,102,10000,5921.1,,10.81,,,,8.57,103.25,99.65,105,101.79,-0.21
Meera Industries Ltd,5/15/17,36,3000,3.89,,,,,,,36,33,37,36.05,0.14
Zota Health Care Ltd,5/10/17,125,1000,58.5,,,,,,,140.4,125.5,144.35,125.6,0.48
S Chand and Company Ltd,5/9/17,670,22,728.56,,44.27,204.65,6.07,,59.49,707,658,707,675.85,0.87
CKP Products Ltd,5/9/17,50,3000,6.24,,,,,,,50,50,53.1,50.15,0.3
Pure Giftcarat Ltd,5/8/17,13,10000,7.45,,,,,,,10.8,10.8,14.5,13.25,1.92
InfoBeans Technologies Ltd,5/2/17,58,2000,36.78,,,,,,,69.6,69.6,69.6,69.6,20
Panache Digilife Ltd,4/25/17,81,1600,14.58,,,,,,,84,84,86.8,85.75,5.86
KMS Medisurgi Ltd,4/24/17,30,4000,2.7,,,,,,,30,30,32.4,30.5,1.67
Sikko Industries Ltd,4/18/17,32,4000,5.12,,,,,,,34.4,34.1,35.5,35.2,10
M K Proteins Limited,4/18/17,70,2000,10.23,,,,,,,72,70.2,72.05,72,2.86
ASL Industries Ltd,4/18/17,35,4000,9.8,,,,,,,33.1,32,36,35.05,0.14
Dev Information Technology Ltd,4/17/17,42,3000,6.25,10,,,,,,50.4,50.4,50.4,50.4,20
Escorp Asset Management Ltd,4/17/17,15,8000,3.24,,,,,,,15,15,15.1,15.1,0.67
Focus Lighting And Fixtures Ltd,4/13/17,45,3000,4.05,,,,,,,54,54,54,54,20
Creative Peripherals & Distribution Ltd,4/12/17,75,1600,13.5,,,,,,,75.75,75.75,83.75,83.25,11
